id,verifiable,label,claim
119398,VERIFIABLE,SUPPORTS,Michael J. Fox appears on a television show.
207014,VERIFIABLE,SUPPORTS,Spider-Man (2002 film) stars an American actor and producer.
226408,VERIFIABLE,SUPPORTS,Perry Saturn has won the WWF Hardcore Championship.
106728,VERIFIABLE,SUPPORTS,The Nintendo Switch was released in March 2017 and uses Joy-Con wireless controllers.
182868,VERIFIABLE,SUPPORTS,Dog Day Afternoon stars Chris Sarandon.
185556,VERIFIABLE,SUPPORTS,Joy is an actress from South Korea.
104445,VERIFIABLE,SUPPORTS,David Schwimmer graduated from a private university in Colorado in 1988.
187814,VERIFIABLE,SUPPORTS,Boston attracts millions of tourists.
101200,VERIFIABLE,SUPPORTS,Lily James was on the BBC.
164309,VERIFIABLE,SUPPORTS,Tessanne Chin is best known for winning a competition.
43843,VERIFIABLE,SUPPORTS,Patriot Act allows law enforcement officers to detain suspects.
105976,VERIFIABLE,SUPPORTS,Anni-Frid Lyngstad sings pop.
171404,VERIFIABLE,SUPPORTS,Blue Velvet is an American film.
112914,VERIFIABLE,SUPPORTS,Hitman is a film.
124951,VERIFIABLE,SUPPORTS,Travis Barker played for the Aquabats.
68887,VERIFIABLE,SUPPORTS,Fantastic Beasts and Where to Find Them was released worldwide.
207738,VERIFIABLE,SUPPORTS,"Sammy Cahn died January 15, 1993."
57475,VERIFIABLE,SUPPORTS,Glenn Frey has done singing for the Eagles.
56035,VERIFIABLE,SUPPORTS,Loki is a deity in Norse mythology.
209235,VERIFIABLE,SUPPORTS,The Outcasts is a film.
148246,VERIFIABLE,SUPPORTS,The world's second highest level of biodiversity is in Indonesia.
80040,VERIFIABLE,SUPPORTS,God in Islam's theology is all-powerful and all-knowing.
41174,VERIFIABLE,SUPPORTS,New York has an Ivy League University in it.
104593,VERIFIABLE,SUPPORTS,Karan Johar won an award from his 2010 movie My Name Is Khan.
199031,VERIFIABLE,SUPPORTS,Foreign Interventionism is included in International Relations.
62914,VERIFIABLE,SUPPORTS,Glenn Frey sang with the Eagles in the 1970's.
72588,VERIFIABLE,SUPPORTS,U2 made a song.
148948,VERIFIABLE,SUPPORTS,Silicon Valley is in California.
1049,VERIFIABLE,SUPPORTS,Minnesota is in the United States.
21244,VERIFIABLE,SUPPORTS,Charles Mackay is a poet.
103734,VERIFIABLE,SUPPORTS,Chester Bennington is a person.
179077,VERIFIABLE,SUPPORTS,Some Torchwood episodes were written by Catherine Tregenna.
212910,VERIFIABLE,SUPPORTS,Marlon Brando portrayed Emiliano Zapata.
104168,VERIFIABLE,SUPPORTS,Her is a recorded work.
94066,VERIFIABLE,SUPPORTS,Kong: Skull Island is a movie.
73749,VERIFIABLE,SUPPORTS,Paleogene is also spelled Palaeogene.
80000,VERIFIABLE,SUPPORTS,XXx: Return of Xander Cage is an American film.
25347,VERIFIABLE,SUPPORTS,Haifa is home to the University of Haifa.
136133,VERIFIABLE,SUPPORTS,Michael Keaton won a Golden Globe Award for Best Actor in a Musical or Comedy.
140078,VERIFIABLE,SUPPORTS,Beauty and the Beast had actors.
99076,VERIFIABLE,SUPPORTS,Brad Bird pitched The Incredibles.
127877,VERIFIABLE,SUPPORTS,Pregnancy can occur by sexual intercourse between a man and a woman.
139632,VERIFIABLE,SUPPORTS,Tyne Daly performed in the play Rabbit Hole.
35163,VERIFIABLE,SUPPORTS,Marshall McLuhan attended a university.
66921,VERIFIABLE,SUPPORTS,Bangladesh has been affected by disasters.
7180,VERIFIABLE,SUPPORTS,Outlander (TV series) was renewed for a third and fourth season in 2016.
29817,VERIFIABLE,SUPPORTS,Estella Warren is a fashion model.
226831,VERIFIABLE,SUPPORTS,Based on fleet size British Airways (BA) is the largest airline in the UK.
64608,VERIFIABLE,SUPPORTS,"Michael Jordan was in ""The Dream Team""."
31638,VERIFIABLE,SUPPORTS,Heather Watson was born on May 19th.
142657,VERIFIABLE,SUPPORTS,Discoveries in hydrodynamics were made by Leonardo da Vinci.
114751,VERIFIABLE,SUPPORTS,Capital Letters features Ruth Negga.
105628,VERIFIABLE,SUPPORTS,Room was worked on by Lenny Abrahamson.
227147,VERIFIABLE,SUPPORTS,The seventh most populous urban area in the European Union is Berlin.
16243,VERIFIABLE,SUPPORTS,Karan Johar is a film director.
177061,VERIFIABLE,SUPPORTS,One common cosmetic are skin cleansers.
4760,VERIFIABLE,SUPPORTS,"Audrey Hepburn devoted much of her later life, after age 50, to UNICEF."
151844,VERIFIABLE,SUPPORTS,Jawaharlal Nehru was a leader.
64295,VERIFIABLE,SUPPORTS,Jon Huntsman Jr. was born.
216741,VERIFIABLE,SUPPORTS,Reds is a film.
95286,VERIFIABLE,SUPPORTS,GRRM is a nickname of George R. R. Martin.
170933,VERIFIABLE,SUPPORTS,The Matrix Revolutions is a film.
188820,VERIFIABLE,SUPPORTS,The Nashville Songwriters Association International provides songwriting education.
110332,VERIFIABLE,SUPPORTS,Jesus was a leader of a religion.
17453,VERIFIABLE,SUPPORTS,The Los Angeles Lakers were given a nickname.
73541,VERIFIABLE,SUPPORTS,Jeanine Pirro participated in cases about domestic abuse.
134818,VERIFIABLE,SUPPORTS,Elephants have been portrayed in popular culture.
72054,VERIFIABLE,SUPPORTS,The Hui people also have a community in Inner Mongolia.
228300,VERIFIABLE,SUPPORTS,The Silence of the Lambs is a 1991 film.
216880,VERIFIABLE,SUPPORTS,William Shakespeare is widely regarded as the world's pre-eminent dramatist and greatest writer in the English language.
158542,VERIFIABLE,SUPPORTS,Gayathri Raguram was in a film starring Prabhu Ganesan.
226639,VERIFIABLE,SUPPORTS,Haim Saban is a musician.
197004,VERIFIABLE,SUPPORTS,Allure is an American women's beauty magazine.
164299,VERIFIABLE,SUPPORTS,Tessanne Chin is a famous Jamaican recording artist.
202899,VERIFIABLE,SUPPORTS,The director and star of The Woman in Red is the same person.
157950,VERIFIABLE,SUPPORTS,Shraddha Kapoor received a nomination.
207712,VERIFIABLE,SUPPORTS,Blizzard created at least one video game series.
107942,VERIFIABLE,SUPPORTS,Toy Story received an award for best screenplay of the year.
166717,VERIFIABLE,SUPPORTS,Cannibalism is the act of humans eating flesh.
70897,VERIFIABLE,SUPPORTS,Taylor Schilling is recognized for her portrayal of Piper Chapman.
29566,VERIFIABLE,SUPPORTS,Cristiano Ronaldo has won the European Golden Shoe awards four times.
124464,VERIFIABLE,SUPPORTS,Dustin Hoffman is a person.
125178,VERIFIABLE,SUPPORTS,"Babe Ruth career spanned 22 seasons, from 1914-1935."
38656,VERIFIABLE,SUPPORTS,Michael Jordan helped popularize a sports league.
92398,VERIFIABLE,SUPPORTS,Flash Thompson is a bully of his classmate Peter Parker.
134181,VERIFIABLE,SUPPORTS,Lily James was in Just William.
61643,VERIFIABLE,SUPPORTS,System of a Down toured as a band.
170705,VERIFIABLE,SUPPORTS,Diana is a studio album.
119805,VERIFIABLE,SUPPORTS,Quinoa was cultivated for human food.
81780,VERIFIABLE,SUPPORTS,There are national teams in ice hockey.
115046,VERIFIABLE,SUPPORTS,Breakroom Live was co-hosted by Marc Maron.
103616,VERIFIABLE,SUPPORTS,"Beverly Hills, 90210 addressed numerous topical issues."
42076,VERIFIABLE,SUPPORTS,The Middle East is contained in Asia.
129357,VERIFIABLE,SUPPORTS,Marvel Comics published Hulk (comics) in their American comic books.
144396,VERIFIABLE,SUPPORTS,Punk rock is a genre of music.
13973,VERIFIABLE,SUPPORTS,Andrew Wood is a founding member of Malfunkshun.
101129,VERIFIABLE,SUPPORTS,Sarah Palin writes.
197850,VERIFIABLE,SUPPORTS,Jean Grey is known under at least three aliases.
93441,VERIFIABLE,SUPPORTS,Joy (entertainer) is a member of a girl group.
203203,VERIFIABLE,SUPPORTS,The English Civil War's Royalists were also called a different name.
7458,VERIFIABLE,SUPPORTS,Azerbaijan possesses a low degree of unemployment.
20124,VERIFIABLE,SUPPORTS,Faith Evans writes.
225662,VERIFIABLE,SUPPORTS,50 First Dates is an American romantic comedy film.
105148,VERIFIABLE,SUPPORTS,Maria I of Portugal was recognized in English as Mary I.
149733,VERIFIABLE,SUPPORTS,Health problems were had by George VI.
180440,VERIFIABLE,SUPPORTS,Régine Chassagne is a writer of songs.
42955,VERIFIABLE,SUPPORTS,Colin Firth acts.
177614,VERIFIABLE,SUPPORTS,Fences is an American film.
27324,VERIFIABLE,SUPPORTS,Nicolas Cage is an actor.
62610,VERIFIABLE,SUPPORTS,Snowden is a movie.
161978,VERIFIABLE,SUPPORTS,Justin Timberlake is a singer-songwriter from the United States.
204661,VERIFIABLE,SUPPORTS,The Youth Olympic Games (YOG) is an international event.
55958,VERIFIABLE,SUPPORTS,Avenged Sevenfold came out with eighteen singles.
12486,VERIFIABLE,SUPPORTS,Singapore is in Southeast Asia.
123585,VERIFIABLE,SUPPORTS,Mexico gained a style of government.
116751,VERIFIABLE,SUPPORTS,British Fantasy Award categories include Best Horror Novel.
127826,VERIFIABLE,SUPPORTS,The band Eagles was fronted by lead singer Glenn Frey.
3813,VERIFIABLE,SUPPORTS,Facebook is an online social media service.
34060,VERIFIABLE,SUPPORTS,Sharon Tate married in January 1968.
58581,VERIFIABLE,REFUTES,Journey is the 2nd best-selling band according to the Recording Industry Association of America.
194154,VERIFIABLE,REFUTES,To The Bone only included canine actors.
85577,VERIFIABLE,REFUTES,The Academy Awards was first televised in 1973.
178419,VERIFIABLE,REFUTES,Patricia Clarkson is the only person who performs in No Reservations.
14245,VERIFIABLE,REFUTES,Samuel L. Jackson has not appeared in the Marvel Cinematic Universe.
186726,VERIFIABLE,REFUTES,Calvin Harris is from India.
135155,VERIFIABLE,REFUTES,Drew Barrymore refused to star in any films directed by Steven Spielberg.
15094,VERIFIABLE,REFUTES,The Aegean Sea is across the world from the Dardanelles.
202233,VERIFIABLE,REFUTES,Murder on the Orient Express starred zero actors or actresses.
44330,VERIFIABLE,REFUTES,All the Pretty Horses is an eastern film.
127239,VERIFIABLE,REFUTES,"Tesla, Inc. was formerly called Nissan."
182425,VERIFIABLE,REFUTES,Gareth Neame has only ever been a model.
123622,VERIFIABLE,REFUTES,Sansa Stark is played by an English mother.
226575,VERIFIABLE,REFUTES,Russell Crowe was only nominated for awards for A Beautiful Mind.
91247,VERIFIABLE,REFUTES,Grant Gustin is a dancer.
141736,VERIFIABLE,REFUTES,LeBron James turned down a role in Trainwreck.
223368,VERIFIABLE,REFUTES,Tim Allen's most recent sitcom began in 1990.
40313,VERIFIABLE,REFUTES,Doug Ducey has been barred for life from holding public office since the age of 18.
164010,VERIFIABLE,REFUTES,Barry Gibb was born after the Bee Gees broke up.
168708,VERIFIABLE,REFUTES,"Jane Lynch graduated on July 14th, 1960."
124721,VERIFIABLE,REFUTES,The Underworld film series has a combined budget of under $2 million.
203302,VERIFIABLE,REFUTES,Extreme environments can only be caused by humans.
220334,VERIFIABLE,REFUTES,Margaret of Valois was an only child.
191960,VERIFIABLE,REFUTES,The Hangover Part III failed to cast any actors.
52505,VERIFIABLE,REFUTES,"Thailand's total area is approximately 513,000 square miles."
186677,VERIFIABLE,REFUTES,Summertime (George Gershwin song) is a symphony composed in 1935.
82046,VERIFIABLE,REFUTES,Yung Rich Nation was produced by only Americans.
112970,VERIFIABLE,REFUTES,David Thewlis refuses to be an actor.
127535,VERIFIABLE,REFUTES,Jordan Spence has played for ten football clubs.
98908,VERIFIABLE,REFUTES,Vladimir Putin studied rest in high school.
126298,VERIFIABLE,REFUTES,Tom Cruise is not an actor.
27015,VERIFIABLE,REFUTES,John Stewart was the first African American superhero to be featured in a film.
146429,VERIFIABLE,REFUTES,Jessica Chastain made her Broadway debut in a revival of a 1811 play.
52315,VERIFIABLE,REFUTES,George VI has a daughter named Elizabeth who is from Japan.
147939,VERIFIABLE,REFUTES,A Game of Thrones was only nominated for the 1996 World Fantasy Award.
21450,VERIFIABLE,REFUTES,Merlin was created by Julian Edelman.
129225,VERIFIABLE,REFUTES,Archimedes was not a mathematician.
120273,VERIFIABLE,REFUTES,Musée National d'Art Moderne is located in the UK.
128727,VERIFIABLE,REFUTES,The Wizard of Oz is an American television show.
109761,VERIFIABLE,REFUTES,Sharon Tate has always been single.
104648,VERIFIABLE,REFUTES,The Council on Foreign Relations specializes in domestic affairs.
107225,VERIFIABLE,REFUTES,Rope was released in 2001.
207879,VERIFIABLE,REFUTES,Carrie Fisher is still alive.
59460,VERIFIABLE,REFUTES,Jensen Ackles is known for his roles in television as Jason Teague in The Simpsons.
59195,VERIFIABLE,REFUTES,All the Pretty Horses is an Armenian film.
16766,VERIFIABLE,REFUTES,Ted Bundy escaped thrice.
226540,VERIFIABLE,REFUTES,Observer Media has only ever been a software company.
105955,VERIFIABLE,REFUTES,Neymar finished college in 1992.
120858,VERIFIABLE,REFUTES,George Martin's career spanned only one decade.
21502,VERIFIABLE,REFUTES,The Eagles released their third album in 2005.
79496,VERIFIABLE,REFUTES,Bill Gates is the co-founder of Moldovan nationalism.
68384,VERIFIABLE,REFUTES,Nicki Minaj is not a singer.
155169,VERIFIABLE,REFUTES,Kaitlin Olson began her career in the real estate business.
170455,VERIFIABLE,REFUTES,Welcome Back (film) features only Russians.
160144,VERIFIABLE,REFUTES,Reese Witherspoon began her career as a child ventriloquist.
88158,VERIFIABLE,REFUTES,Detroit is a village.
72883,VERIFIABLE,REFUTES,Socrates is credited as one of the founders of Eastern philosophy.
92271,VERIFIABLE,REFUTES,Glamorous is unknown to Fergie.
90826,VERIFIABLE,REFUTES,Rockefeller University is in Massachusetts.
191869,VERIFIABLE,REFUTES,Usher was born in Tennessee.
77638,VERIFIABLE,REFUTES,Big Brother 18 (UK) is hosted exclusively by Americans.
226775,VERIFIABLE,REFUTES,"My Bloody Valentine 3D had one director, who was born in 1993."
66728,VERIFIABLE,REFUTES,Pat Riley is a professional baseball executive.
45911,VERIFIABLE,REFUTES,Mr. Sunshine began its run on May 9.
181299,VERIFIABLE,REFUTES,Armadillo World Headquarters was located outside of Texas.
162869,VERIFIABLE,REFUTES,Broadcast News is a horror film.
16889,VERIFIABLE,REFUTES,The United Nations is not an organization.
67753,VERIFIABLE,REFUTES,Milla Jovovich's first film appearance was when she was 23.
207107,VERIFIABLE,REFUTES,The United Kingdom has the world's ninth-largest economy by GDP.
97542,VERIFIABLE,REFUTES,Philip V of Spain was unable to reign.
143796,VERIFIABLE,REFUTES,Shia LaBeouf won his first Emmy in 2007.
118995,VERIFIABLE,REFUTES,Hitman is based in America.
63362,VERIFIABLE,REFUTES,Lewis Hamilton holds no record.
225452,VERIFIABLE,REFUTES,Hockey is hated everywhere except Morocco.
64656,VERIFIABLE,REFUTES,Fantastic Beasts and Where to Find Them premiered in September 2014.
23070,VERIFIABLE,REFUTES,Annie Parisse is German.
9668,VERIFIABLE,REFUTES,Warren G. Harding was President of France.
10143,VERIFIABLE,REFUTES,"Calvin Harris collaborated with Rihanna on ""We Found Love"" in 1992."
85650,VERIFIABLE,REFUTES,Little Miss Sunshine was filmed in Washington.
97324,VERIFIABLE,REFUTES,Michael Jackson's death was ruled a suicide.
30612,VERIFIABLE,REFUTES,Saif Ali Khan is not male.
31979,VERIFIABLE,REFUTES,Calvin Harris does not have more songs on the UK Singles Chart than Michael Jackson.
212145,VERIFIABLE,REFUTES,"Red stars Morgan Freeman as the titular Red, a man spending a life sentence in prison."
76969,VERIFIABLE,REFUTES,Conquest of the Planet of the Apes was cancelled in 1972.
178668,VERIFIABLE,REFUTES,Little Miss Sunshine is an unadapted novel.
44929,VERIFIABLE,REFUTES,Steven Soderbergh failed to direct Ocean's 11.
214278,VERIFIABLE,REFUTES,J. Cole is incapable of being an American hip hop recording artist.
38169,VERIFIABLE,REFUTES,Ron Swanson loves government.
198842,VERIFIABLE,REFUTES,The Rolling Stones' novels Some Girls and Tattoo You were their most popular albums worldwide.
29500,VERIFIABLE,REFUTES,American Horror Story passed on hiring Evan Peters.
111010,VERIFIABLE,REFUTES,"Jamie Oliver launched ""Jamie's Italian"" in Boston."
146892,VERIFIABLE,REFUTES,Uzbekistan is a rock of the Commonwealth of Independent States (CIS).
144990,VERIFIABLE,REFUTES,The Divergent Series does not have an IMAX 3D movie version.
54741,VERIFIABLE,REFUTES,Mother Teresa lived most of her life in Ireland.
66040,VERIFIABLE,REFUTES,Odin is an angel.
10253,VERIFIABLE,REFUTES,The Council on Foreign Relations is from France.
215090,VERIFIABLE,REFUTES,Rose Kennedy died in the 70's.
183252,VERIFIABLE,REFUTES,Hopman Cup was founded in 1999.
204495,VERIFIABLE,REFUTES,Dangerous Beauty is a biology textbook.
206690,VERIFIABLE,REFUTES,"Richmond, Virginia is outside of the United States."
70188,VERIFIABLE,REFUTES,Sister Act features musical arrangements by a ninety year old American composer and lyricist.
211180,VERIFIABLE,REFUTES,Marcus Allen's only brother was born in 1967.
226022,VERIFIABLE,REFUTES,Tetris has sold zero copies.
112949,VERIFIABLE,REFUTES,Tokyo is in India.
11447,VERIFIABLE,REFUTES,Claudia Leitte declined a role on The Voice Brasil.
82757,VERIFIABLE,SUPPORTS,Spain has territory in a non-European continent.
159404,VERIFIABLE,SUPPORTS,Jeff Ament has been a member of Pearl Jam since 1990.
60814,VERIFIABLE,SUPPORTS,Anorexia nervosa caused the deaths of several hundred people in 2013.
56938,VERIFIABLE,REFUTES,Austria was re-established as a sovereign state in 1954.
49843,VERIFIABLE,REFUTES,Avril Lavigne is not a voice actor.
18782,VERIFIABLE,SUPPORTS,Alexander Hamilton chose to stay in the Thirteen colonies.
132190,VERIFIABLE,REFUTES,Caroline Blakiston turned down the role on the show Brass.
162471,VERIFIABLE,REFUTES,Before We Go was cancelled in 2014.
217708,VERIFIABLE,SUPPORTS,Actress Sue Galloway co-starred in 30 Rock.
100989,VERIFIABLE,REFUTES,Mango is the national fruit of Bangladesh.
125523,VERIFIABLE,REFUTES,"The internet did not originate in a project to build robust, fault-tolerant communication via computer networks."
38252,VERIFIABLE,SUPPORTS,Lyme disease treatment usually takes two or three weeks.
94028,VERIFIABLE,REFUTES,Stranger Things has at least five seasons.
31780,VERIFIABLE,REFUTES,Emilio Estevez is not an American.
2419,VERIFIABLE,REFUTES,Donnie Wahlberg was not nominated for Choice Scream at the 2008 Teen Choice Awards.
45159,VERIFIABLE,SUPPORTS,Cleopatra speaks the ancient language Egyptian.
188777,VERIFIABLE,REFUTES,Brigitte Macron was born in May.
146442,VERIFIABLE,REFUTES,Farrah Fawcett denied a role in The Burning Bed.
101422,VERIFIABLE,SUPPORTS,Amy Poehler started an American theater.
39230,VERIFIABLE,SUPPORTS,The Council on Foreign Relations is from a country.
74243,VERIFIABLE,REFUTES,David Jones (video game developer) is English.
217640,VERIFIABLE,SUPPORTS,Imtiaz Ali directed Love Aaj Kal.
159359,VERIFIABLE,SUPPORTS,Lee Harvey Oswald was arrested for the assassination of someone.
203368,VERIFIABLE,REFUTES,Saratoga includes Mark Hamill.
30676,VERIFIABLE,REFUTES,Wayne Rooney has never received a red card.
30949,VERIFIABLE,REFUTES,Teen Wolf premiered on June 18.
125303,VERIFIABLE,REFUTES,Lily Collins was rejected for Newest Red Carpet Correspondent.
82118,VERIFIABLE,REFUTES,Steam is not the gaseous state of water.
49972,VERIFIABLE,SUPPORTS,Watchmen was originally released in the late 1980s.
127643,VERIFIABLE,REFUTES,Sons of Anarchy is not about a motorcycle club.
83625,VERIFIABLE,REFUTES,Saamy is a 2003 television show.
133080,VERIFIABLE,REFUTES,Slovenia does not use the euro as official currency.
204799,VERIFIABLE,SUPPORTS,Chris Noth was nominated for Best Supporting Actor for The Good Wife in 2010.
169349,VERIFIABLE,REFUTES,Sam Walton's full name was Sam Amanda Walton.
20594,VERIFIABLE,REFUTES,Death in Paradise has received low ratings.
65135,VERIFIABLE,REFUTES,"Russ has a 2005 song titled ""What They Want""."
217769,VERIFIABLE,SUPPORTS,Brian Lynch co-created Angel: After the Fall with Joss Whedon.
13622,VERIFIABLE,SUPPORTS,Lee Child is European.
157693,VERIFIABLE,SUPPORTS,The Fujitsu iPAD came out in the 2000s.
110240,VERIFIABLE,REFUTES,Aaliyah's second album sold over three million copies in the US.
171476,VERIFIABLE,SUPPORTS,Splash was written by two people.
147397,VERIFIABLE,REFUTES,Jacqueline Kennedy Onassis was snubbed in an annual poll by Gallup.
181563,VERIFIABLE,REFUTES,Jag had one episode.
106891,VERIFIABLE,SUPPORTS,James McAvoy works in the television industry.
180150,VERIFIABLE,SUPPORTS,Gil Sharone started production with a musical group formed by Marilyn Manson.
225506,VERIFIABLE,SUPPORTS,The 84th Academy Awards winners included Rango.
209662,VERIFIABLE,REFUTES,George W. Romney died childless.
28319,VERIFIABLE,SUPPORTS,Heartlight was the eighth time Diamond had a top 5 hit.
70995,VERIFIABLE,REFUTES,The Philippines were named after a Queen of Spain.
146088,VERIFIABLE,REFUTES,"Charles, Prince of Wales sponsors The Prince's Charities as of 2002."
184155,VERIFIABLE,REFUTES,Furia is a novel.
92075,VERIFIABLE,SUPPORTS,"Sharon Tate co-starred in a film with her husband, Roman Polanski."
92511,VERIFIABLE,SUPPORTS,The Hobbit series is three films long.
98839,VERIFIABLE,REFUTES,Charles Dickens died in November 1870.
147657,VERIFIABLE,SUPPORTS,James McAvoy turned down the chance to work on Children of Dune.
24072,VERIFIABLE,SUPPORTS,O. J. Simpson was arrested in 2007.
115603,VERIFIABLE,REFUTES,The Fosters does not air on Freeform.
197679,VERIFIABLE,SUPPORTS,Lucas starred an actor whose death took place on March 10.
50968,VERIFIABLE,REFUTES,Derrick Rose was unable to win the NBA's MVP Award.
109841,VERIFIABLE,REFUTES,"At his peak, John D. Rockefeller controlled 70% of all oil in the United States."
169649,VERIFIABLE,REFUTES,Ken Russell directed a play starring Alan Bates.
171125,VERIFIABLE,SUPPORTS,1980 was the year Atlantic City was made.
125132,VERIFIABLE,REFUTES,2001: A Space Odyssey was not financed by Metro-Goldwyn-Mayer.
123829,VERIFIABLE,REFUTES,Paul Pogba ended his career with Manchester United.
213219,VERIFIABLE,SUPPORTS,The Nile drains through a forest.
20136,VERIFIABLE,SUPPORTS,Acting is Seth Rogen's profession.
73377,VERIFIABLE,REFUTES,Aishwarya Rai did not marry actor Abhishek Bachchan.
36366,VERIFIABLE,REFUTES,Yardie was left unpublished.
42073,VERIFIABLE,SUPPORTS,Transformers: Revenge of the Fallen grossed $402.1 million in North America.
194045,VERIFIABLE,SUPPORTS,John Krasinski is included in Duane Hopwood.
77880,VERIFIABLE,SUPPORTS,Music is something performed by Buddy Holly.
103770,VERIFIABLE,REFUTES,Texas does not have coastal swamps.
213480,VERIFIABLE,REFUTES,Monarch of the Glen is praised by Ecosse Films.
211138,VERIFIABLE,SUPPORTS,Rain Man won four Oscars at the 61st Academy Awards.
139450,VERIFIABLE,SUPPORTS,Honey to the B is the first album of Billie Piper.
53327,VERIFIABLE,REFUTES,Jazz Jennings is the star of a History Channel reality show.
76439,VERIFIABLE,REFUTES,Alexander Lebedev is a billionaire.
7146,VERIFIABLE,REFUTES,Romelu Lukaku played for every team except the Anderlecht team.
144792,VERIFIABLE,REFUTES,The World Senior Chess Championship was established by a domestic organization.
153457,VERIFIABLE,REFUTES,Transformers: Dark of the Moon is not a film.
170147,VERIFIABLE,SUPPORTS,Wayne Wang directed Maid in Manhattan.
160223,VERIFIABLE,REFUTES,Selene serves as the central country in a 2003 action horror film.
134488,VERIFIABLE,REFUTES,Katharine Hepburn was always herself.
66476,VERIFIABLE,REFUTES,Planet of the Apes (1968 film) was not filmed over the course of three months.
176043,VERIFIABLE,REFUTES,WALL-E lost all Saturn Award nominations.
11571,VERIFIABLE,REFUTES,Dwight D. Eisenhower is considered by many Eastern scholars to be one of the greatest U.S. Presidents.
73076,VERIFIABLE,REFUTES,Tyrese Gibson is not well known.
112939,VERIFIABLE,REFUTES,Mike Pence did not support the Tea Party movement.
47093,VERIFIABLE,SUPPORTS,The Nazi regime took over Prussia in the 20th century.
206805,VERIFIABLE,SUPPORTS,Cosmopolitan was first written in 1886.
91972,VERIFIABLE,REFUTES,Overwatch does not let players gain cosmetic awards.
67978,VERIFIABLE,SUPPORTS,Grant Gustin played the role of Sebastian Smythe.
46571,VERIFIABLE,SUPPORTS,"Leukemia caused 353,500 deaths in 2015."
58902,VERIFIABLE,SUPPORTS,Haitian Creole is the only language of most Haitians.
73754,VERIFIABLE,SUPPORTS,Bill Clinton was found not guilty by the United States Senate.
95949,VERIFIABLE,REFUTES,Ozzy Osbourne has a Geordie accent.
66895,VERIFIABLE,REFUTES,Maynard James Keenan does not make wine.
204817,VERIFIABLE,SUPPORTS,Chris Noth was nominated for the first Golden Globe Award for Best Supporting Actor on Television.
169656,VERIFIABLE,REFUTES,Ken Russell was involved with a 1975 British musical fantasy drama film about penguins.
55530,VERIFIABLE,SUPPORTS,Bali is located at the westernmost part of the Lesser Sunda Islands.
160213,VERIFIABLE,REFUTES,Selene only serves as a minor character in a film based on a story.
152840,VERIFIABLE,REFUTES,The Belko Experiment was not written by James Gunn.
